date,username,text,case folding,tokenizing,filtering,stemmed,tweet_final
2/7/2023 11:41,Jyot Jeet,Earthquake leaves over 4 300 Dead in Turkey and Syria people have lost their entire families ,earthquake leaves over 4 300 dead in turkey and syria people have lost their entire families ,"['earthquake', 'leaves', 'over', '4', '300', 'dead', 'in', 'turkey', 'and', 'syria', 'people', 'have', 'lost', 'their', 'entire', 'families']","['earthquake', 'leaves', '4', '300', 'dead', 'turkey', 'syria', 'people', 'lost', 'entire', 'families']","['earthquak', 'leav', '4', '300', 'dead', 'turkey', 'syria', 'peopl', 'lost', 'entir', 'famili']",earthquak leav 4 300 dead turkey syria peopl lost entir famili
2/7/2023 12:32,ѕɪʀᴇɴѕ - ᓚᘏᗢ ℒᎯ ℒᎯℕᎯ 𖤍᭄,God please help and this is so sad ,god please help and this is so sad ,"['god', 'please', 'help', 'and', 'this', 'is', 'so', 'sad']","['god', 'please', 'help', 'sad']","['god', 'pleas', 'help', 'sad']",god pleas help sad
2/7/2023 12:34,𝑴𝒂𝒍𝒂𝒌 𝑨𝒔𝒈𝒉𝒂𝒓,Alkhidmat Foundation Pakistan collaboration with Turkish partner organizations is responding on the ground ,alkhidmat foundation pakistan collaboration with turkish partner organizations is responding on the ground ,"['alkhidmat', 'foundation', 'pakistan', 'collaboration', 'with', 'turkish', 'partner', 'organizations', 'is', 'responding', 'on', 'the', 'ground']","['alkhidmat', 'foundation', 'pakistan', 'collaboration', 'turkish', 'partner', 'organizations', 'responding', 'ground']","['alkhidmat', 'foundat', 'pakistan', 'collabor', 'turkish', 'partner', 'organ', 'respond', 'ground']",alkhidmat foundat pakistan collabor turkish partner organ respond ground
2/7/2023 12:34,Jhoa Vall,BE SYRIA S VOICE ,be syria s voice ,"['be', 'syria', 's', 'voice']","['syria', 'voice']","['syria', 'voic']",syria voic
2/7/2023 12:35,H Sakib shaikh,May Allah protect Turkey and syria ,may allah protect turkey and syria ,"['may', 'allah', 'protect', 'turkey', 'and', 'syria']","['may', 'allah', 'protect', 'turkey', 'syria']","['may', 'allah', 'protect', 'turkey', 'syria']",may allah protect turkey syria
2/7/2023 12:37,Tajweez Properties PVT LTD.,Prayers for Turkey Syria Lebanon May Allah help and protect those who are effected and have mercy on everyone ,prayers for turkey syria lebanon may allah help and protect those who are effected and have mercy on everyone ,"['prayers', 'for', 'turkey', 'syria', 'lebanon', 'may', 'allah', 'help', 'and', 'protect', 'those', 'who', 'are', 'effected', 'and', 'have', 'mercy', 'on', 'everyone']","['prayers', 'turkey', 'syria', 'lebanon', 'may', 'allah', 'help', 'protect', 'effected', 'mercy', 'everyone']","['prayer', 'turkey', 'syria', 'lebanon', 'may', 'allah', 'help', 'protect', 'effect', 'merci', 'everyon']",prayer turkey syria lebanon may allah help protect effect merci everyon
2/7/2023 12:39,LogicaBeans,Heartbreaking news from Turkey and Sriya after a powerful earthquake hit Stay safe everyone ,heartbreaking news from turkey and sriya after a powerful earthquake hit stay safe everyone ,"['heartbreaking', 'news', 'from', 'turkey', 'and', 'sriya', 'after', 'a', 'powerful', 'earthquake', 'hit', 'stay', 'safe', 'everyone']","['heartbreaking', 'news', 'turkey', 'sriya', 'powerful', 'earthquake', 'hit', 'stay', 'safe', 'everyone']","['heartbreak', 'news', 'turkey', 'sriya', 'power', 'earthquak', 'hit', 'stay', 'safe', 'everyon']",heartbreak news turkey sriya power earthquak hit stay safe everyon
2/7/2023 12:44,Jinnah's Views,Hazrat Ayesha RA Said Powerful 7 8 Cyprus ,hazrat ayesha ra said powerful 7 8 cyprus ,"['hazrat', 'ayesha', 'ra', 'said', 'powerful', '7', '8', 'cyprus']","['hazrat', 'ayesha', 'ra', 'said', 'powerful', '7', '8', 'cyprus']","['hazrat', 'ayesha', 'ra', 'said', 'power', '7', '8', 'cypru']",hazrat ayesha ra said power 7 8 cypru
2/7/2023 12:46,Nature,Turkey ,turkey ,['turkey'],['turkey'],['turkey'],turkey
2/7/2023 12:58,Pravin. S. Survase,Earthquake leaves over 4 300 Dead in Turkey and Syria ,earthquake leaves over 4 300 dead in turkey and syria ,"['earthquake', 'leaves', 'over', '4', '300', 'dead', 'in', 'turkey', 'and', 'syria']","['earthquake', 'leaves', '4', '300', 'dead', 'turkey', 'syria']","['earthquak', 'leav', '4', '300', 'dead', 'turkey', 'syria']",earthquak leav 4 300 dead turkey syria
2/7/2023 12:59,"Kenyan Diplomat, H.S.C",Heart and soul are with the people of Turkey ,heart and soul are with the people of turkey ,"['heart', 'and', 'soul', 'are', 'with', 'the', 'people', 'of', 'turkey']","['heart', 'soul', 'people', 'turkey']","['heart', 'soul', 'peopl', 'turkey']",heart soul peopl turkey
2/7/2023 12:59,Erik Korsas,Help is arriving and what happiness these must feel ,help is arriving and what happiness these must feel ,"['help', 'is', 'arriving', 'and', 'what', 'happiness', 'these', 'must', 'feel']","['help', 'arriving', 'happiness', 'must', 'feel']","['help', 'arriv', 'happi', 'must', 'feel']",help arriv happi must feel
2/7/2023 13:07,Ol'ka greene,There are no words So many people died there was not even a warning ,there are no words so many people died there was not even a warning ,"['there', 'are', 'no', 'words', 'so', 'many', 'people', 'died', 'there', 'was', 'not', 'even', 'a', 'warning']","['words', 'many', 'people', 'died', 'even', 'warning']","['word', 'mani', 'peopl', 'die', 'even', 'warn']",word mani peopl die even warn
2/7/2023 13:11,Ansharusyariah,Press Release Jamaah Ansharu Syariah About Massive Earthquake Disaster in Turkey and Syria ,press release jamaah ansharu syariah about massive earthquake disaster in turkey and syria ,"['press', 'release', 'jamaah', 'ansharu', 'syariah', 'about', 'massive', 'earthquake', 'disaster', 'in', 'turkey', 'and', 'syria']","['press', 'release', 'jamaah', 'ansharu', 'syariah', 'massive', 'earthquake', 'disaster', 'turkey', 'syria']","['press', 'releas', 'jamaah', 'ansharu', 'syariah', 'massiv', 'earthquak', 'disast', 'turkey', 'syria']",press releas jamaah ansharu syariah massiv earthquak disast turkey syria
2/7/2023 13:12,The News Defender,Death toll from the Turkey earthquake has reached 2921 The number of injured is 15 834 Turkey Emergency Service Number of deaths in Syria is 1451 While the number of injured is 3531 ,death toll from the turkey earthquake has reached 2921 the number of injured is 15 834 turkey emergency service number of deaths in syria is 1451 while the number of injured is 3531 ,"['death', 'toll', 'from', 'the', 'turkey', 'earthquake', 'has', 'reached', '2921', 'the', 'number', 'of', 'injured', 'is', '15', '834', 'turkey', 'emergency', 'service', 'number', 'of', 'deaths', 'in', 'syria', 'is', '1451', 'while', 'the', 'number', 'of', 'injured', 'is', '3531']","['death', 'toll', 'turkey', 'earthquake', 'reached', '2921', 'number', 'injured', '15', '834', 'turkey', 'emergency', 'service', 'number', 'deaths', 'syria', '1451', 'number', 'injured', '3531']","['death', 'toll', 'turkey', 'earthquak', 'reach', '2921', 'number', 'injur', '15', '834', 'turkey', 'emerg', 'servic', 'number', 'death', 'syria', '1451', 'number', 'injur', '3531']",death toll turkey earthquak reach 2921 number injur 15 834 turkey emerg servic number death syria 1451 number injur 3531
2/7/2023 13:15,The Statesman, Our country promptly on its part sent assistance as NDRF search rescue teams RS Chairman Jagdeep Dhankhar on the tragic earthquake in Turkey Syria , our country promptly on its part sent assistance as ndrf search rescue teams rs chairman jagdeep dhankhar on the tragic earthquake in turkey syria ,"['our', 'country', 'promptly', 'on', 'its', 'part', 'sent', 'assistance', 'as', 'ndrf', 'search', 'rescue', 'teams', 'rs', 'chairman', 'jagdeep', 'dhankhar', 'on', 'the', 'tragic', 'earthquake', 'in', 'turkey', 'syria']","['country', 'promptly', 'part', 'sent', 'assistance', 'ndrf', 'search', 'rescue', 'teams', 'rs', 'chairman', 'jagdeep', 'dhankhar', 'tragic', 'earthquake', 'turkey', 'syria']","['countri', 'promptli', 'part', 'sent', 'assist', 'ndrf', 'search', 'rescu', 'team', 'rs', 'chairman', 'jagdeep', 'dhankhar', 'tragic', 'earthquak', 'turkey', 'syria']",countri promptli part sent assist ndrf search rescu team rs chairman jagdeep dhankhar tragic earthquak turkey syria
2/7/2023 13:25,JAKE 🇦🇺,It s very sad to hear 4 300 people have lost their lives due to the Earthquakes that happened in Turkey Syria my thoughts prayers go out to everyone who have been doing it tough losing their loved ones ,it s very sad to hear 4 300 people have lost their lives due to the earthquakes that happened in turkey syria my thoughts prayers go out to everyone who have been doing it tough losing their loved ones ,"['it', 's', 'very', 'sad', 'to', 'hear', '4', '300', 'people', 'have', 'lost', 'their', 'lives', 'due', 'to', 'the', 'earthquakes', 'that', 'happened', 'in', 'turkey', 'syria', 'my', 'thoughts', 'prayers', 'go', 'out', 'to', 'everyone', 'who', 'have', 'been', 'doing', 'it', 'tough', 'losing', 'their', 'loved', 'ones']","['sad', 'hear', '4', '300', 'people', 'lost', 'lives', 'due', 'earthquakes', 'happened', 'turkey', 'syria', 'thoughts', 'prayers', 'go', 'everyone', 'tough', 'losing', 'loved', 'ones']","['sad', 'hear', '4', '300', 'peopl', 'lost', 'live', 'due', 'earthquak', 'happen', 'turkey', 'syria', 'thought', 'prayer', 'go', 'everyon', 'tough', 'lose', 'love', 'one']",sad hear 4 300 peopl lost live due earthquak happen turkey syria thought prayer go everyon tough lose love one
2/7/2023 13:29,Akram Siddique, May Allah protect Turkey and syria , may allah protect turkey and syria ,"['may', 'allah', 'protect', 'turkey', 'and', 'syria']","['may', 'allah', 'protect', 'turkey', 'syria']","['may', 'allah', 'protect', 'turkey', 'syria']",may allah protect turkey syria
2/7/2023 13:29,Daii,Pray for Turkey amp Syria ,pray for turkey amp syria ,"['pray', 'for', 'turkey', 'amp', 'syria']","['pray', 'turkey', 'syria']","['pray', 'turkey', 'syria']",pray turkey syria
2/7/2023 13:35,Abbas Mastan, Ya Allah Reham for the people of and May Allah protect our Muslim brothers and sisters , ya allah reham for the people of and may allah protect our muslim brothers and sisters ,"['ya', 'allah', 'reham', 'for', 'the', 'people', 'of', 'and', 'may', 'allah', 'protect', 'our', 'muslim', 'brothers', 'and', 'sisters']","['ya', 'allah', 'reham', 'people', 'may', 'allah', 'protect', 'muslim', 'brothers', 'sisters']","['ya', 'allah', 'reham', 'peopl', 'may', 'allah', 'protect', 'muslim', 'brother', 'sister']",ya allah reham peopl may allah protect muslim brother sister
2/7/2023 13:39,eylül,Turkey has declared a level 4 state of alert which means an international call for help Currently 1 USD 18 83 TRY and 1 EUR 20 18 TRY so even the slightest help can have a huge impact We all need your help no matter how big or little Please help Turkey ,turkey has declared a level 4 state of alert which means an international call for help currently 1 usd 18 83 try and 1 eur 20 18 try so even the slightest help can have a huge impact we all need your help no matter how big or little please help turkey ,"['turkey', 'has', 'declared', 'a', 'level', '4', 'state', 'of', 'alert', 'which', 'means', 'an', 'international', 'call', 'for', 'help', 'currently', '1', 'usd', '18', '83', 'try', 'and', '1', 'eur', '20', '18', 'try', 'so', 'even', 'the', 'slightest', 'help', 'can', 'have', 'a', 'huge', 'impact', 'we', 'all', 'need', 'your', 'help', 'no', 'matter', 'how', 'big', 'or', 'little', 'please', 'help', 'turkey']","['turkey', 'declared', 'level', '4', 'state', 'alert', 'means', 'international', 'call', 'help', 'currently', '1', 'usd', '18', '83', 'try', '1', 'eur', '20', '18', 'try', 'even', 'slightest', 'help', 'huge', 'impact', 'need', 'help', 'matter', 'big', 'little', 'please', 'help', 'turkey']","['turkey', 'declar', 'level', '4', 'state', 'alert', 'mean', 'intern', 'call', 'help', 'current', '1', 'usd', '18', '83', 'tri', '1', 'eur', '20', '18', 'tri', 'even', 'slightest', 'help', 'huge', 'impact', 'need', 'help', 'matter', 'big', 'littl', 'pleas', 'help', 'turkey']",turkey declar level 4 state alert mean intern call help current 1 usd 18 83 tri 1 eur 20 18 tri even slightest help huge impact need help matter big littl pleas help turkey
2/7/2023 13:41,Quadir Choudhary عبدالقادر👑,May Allah protect Turkey and syria ,may allah protect turkey and syria ,"['may', 'allah', 'protect', 'turkey', 'and', 'syria']","['may', 'allah', 'protect', 'turkey', 'syria']","['may', 'allah', 'protect', 'turkey', 'syria']",may allah protect turkey syria
2/7/2023 13:42,Al-Hadi Associates and Builders, Pray for Turkey Syria Lebanon , pray for turkey syria lebanon ,"['pray', 'for', 'turkey', 'syria', 'lebanon']","['pray', 'turkey', 'syria', 'lebanon']","['pray', 'turkey', 'syria', 'lebanon']",pray turkey syria lebanon
2/7/2023 13:46,TrendingTopics,Earthquake measuring 7 0 on the Richter scale strikes eastern Turkey Stay safe everyone ,earthquake measuring 7 0 on the richter scale strikes eastern turkey stay safe everyone ,"['earthquake', 'measuring', '7', '0', 'on', 'the', 'richter', 'scale', 'strikes', 'eastern', 'turkey', 'stay', 'safe', 'everyone']","['earthquake', 'measuring', '7', '0', 'richter', 'scale', 'strikes', 'eastern', 'turkey', 'stay', 'safe', 'everyone']","['earthquak', 'measur', '7', '0', 'richter', 'scale', 'strike', 'eastern', 'turkey', 'stay', 'safe', 'everyon']",earthquak measur 7 0 richter scale strike eastern turkey stay safe everyon
2/7/2023 13:52,👻,Now there is news for and near regions May Allah keep every one safe and protected all over the World Ameen ,now there is news for and near regions may allah keep every one safe and protected all over the world ameen ,"['now', 'there', 'is', 'news', 'for', 'and', 'near', 'regions', 'may', 'allah', 'keep', 'every', 'one', 'safe', 'and', 'protected', 'all', 'over', 'the', 'world', 'ameen']","['news', 'near', 'regions', 'may', 'allah', 'keep', 'every', 'one', 'safe', 'protected', 'world', 'ameen']","['news', 'near', 'region', 'may', 'allah', 'keep', 'everi', 'one', 'safe', 'protect', 'world', 'ameen']",news near region may allah keep everi one safe protect world ameen
2/7/2023 13:56,Mercy Soy,The next step is taking action putting systems in place to respond to impacts we are experiencing today as we prepare for an uncertain tomorrow ,the next step is taking action putting systems in place to respond to impacts we are experiencing today as we prepare for an uncertain tomorrow ,"['the', 'next', 'step', 'is', 'taking', 'action', 'putting', 'systems', 'in', 'place', 'to', 'respond', 'to', 'impacts', 'we', 'are', 'experiencing', 'today', 'as', 'we', 'prepare', 'for', 'an', 'uncertain', 'tomorrow']","['next', 'step', 'taking', 'action', 'putting', 'systems', 'place', 'respond', 'impacts', 'experiencing', 'today', 'prepare', 'uncertain', 'tomorrow']","['next', 'step', 'take', 'action', 'put', 'system', 'place', 'respond', 'impact', 'experienc', 'today', 'prepar', 'uncertain', 'tomorrow']",next step take action put system place respond impact experienc today prepar uncertain tomorrow
2/7/2023 13:57,🆘🎗️,PLEASE HELP ,please help ,"['please', 'help']","['please', 'help']","['pleas', 'help']",pleas help
2/7/2023 13:58,Dana, Good morning with hope Team , good morning with hope team ,"['good', 'morning', 'with', 'hope', 'team']","['good', 'morning', 'hope', 'team']","['good', 'morn', 'hope', 'team']",good morn hope team
2/7/2023 14:02,Mohsin Khan,A clips during the rescue work in Turkey earthquake ,a clips during the rescue work in turkey earthquake ,"['a', 'clips', 'during', 'the', 'rescue', 'work', 'in', 'turkey', 'earthquake']","['clips', 'rescue', 'work', 'turkey', 'earthquake']","['clip', 'rescu', 'work', 'turkey', 'earthquak']",clip rescu work turkey earthquak
2/7/2023 14:07,Purple Foundation,Purple Foundation extends its heartfelt condolences and solidarity to the government and people of Turkey and Syria in the aftermath of the devastating earthquake and tragic loss of life ,purple foundation extends its heartfelt condolences and solidarity to the government and people of turkey and syria in the aftermath of the devastating earthquake and tragic loss of life ,"['purple', 'foundation', 'extends', 'its', 'heartfelt', 'condolences', 'and', 'solidarity', 'to', 'the', 'government', 'and', 'people', 'of', 'turkey', 'and', 'syria', 'in', 'the', 'aftermath', 'of', 'the', 'devastating', 'earthquake', 'and', 'tragic', 'loss', 'of', 'life']","['purple', 'foundation', 'extends', 'heartfelt', 'condolences', 'solidarity', 'government', 'people', 'turkey', 'syria', 'aftermath', 'devastating', 'earthquake', 'tragic', 'loss', 'life']","['purpl', 'foundat', 'extend', 'heartfelt', 'condol', 'solidar', 'govern', 'peopl', 'turkey', 'syria', 'aftermath', 'devast', 'earthquak', 'tragic', 'loss', 'life']",purpl foundat extend heartfelt condol solidar govern peopl turkey syria aftermath devast earthquak tragic loss life
2/7/2023 14:07,Muhammad Anas,Our hearts go out to the people affected by the devastating earthquake in Turkey The loss of life and damage to communities is tragic Sending love and support to those in need and hoping for a swift recovery ,our hearts go out to the people affected by the devastating earthquake in turkey the loss of life and damage to communities is tragic sending love and support to those in need and hoping for a swift recovery ,"['our', 'hearts', 'go', 'out', 'to', 'the', 'people', 'affected', 'by', 'the', 'devastating', 'earthquake', 'in', 'turkey', 'the', 'loss', 'of', 'life', 'and', 'damage', 'to', 'communities', 'is', 'tragic', 'sending', 'love', 'and', 'support', 'to', 'those', 'in', 'need', 'and', 'hoping', 'for', 'a', 'swift', 'recovery']","['hearts', 'go', 'people', 'affected', 'devastating', 'earthquake', 'turkey', 'loss', 'life', 'damage', 'communities', 'tragic', 'sending', 'love', 'support', 'need', 'hoping', 'swift', 'recovery']","['heart', 'go', 'peopl', 'affect', 'devast', 'earthquak', 'turkey', 'loss', 'life', 'damag', 'commun', 'tragic', 'send', 'love', 'support', 'need', 'hope', 'swift', 'recoveri']",heart go peopl affect devast earthquak turkey loss life damag commun tragic send love support need hope swift recoveri
